Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
4.116372	4.105124	0.004460	2.294697	11.940000	2.294015	12.360000	
3.984739	3.935164	0.007062	2.262277	15.960000	2.256506	16.200000	
3.917494	3.814934	0.008863	2.058715	24.860000	2.046387	25.500000	
3.853505	3.687158	0.010321	1.808491	35.940000	1.792137	36.190000	
3.812628	3.591696	0.010661	1.648072	43.800000	1.628197	43.720000	
3.850684	3.577409	0.010807	1.607542	46.020000	1.580914	46.000000	
3.857652	3.529130	0.010984	1.570750	47.360000	1.539733	48.070000	
3.884208	3.501149	0.011101	1.542754	48.800000	1.518944	49.680000	
3.931015	3.494857	0.011152	1.512370	50.580000	1.489784	50.790000	
3.979953	3.480000	0.011443	1.501919	51.340000	1.473737	51.890000	
4.007639	3.465607	0.011219	1.489152	51.980000	1.462818	52.300000	
4.057412	3.473050	0.011046	1.477188	52.460000	1.452413	53.520000	
4.114024	3.463775	0.011309	1.452153	53.560000	1.429574	54.600000	
4.177152	3.463365	0.011491	1.417790	54.980000	1.405678	55.510000	
4.217077	3.449515	0.011510	1.425591	55.340000	1.411858	55.600000	
4.254615	3.448309	0.011309	1.415870	56.380000	1.398689	55.900000	
4.326527	3.460471	0.011411	1.417381	56.300000	1.399796	56.470000	
4.395487	3.455658	0.011676	1.436339	56.080000	1.416125	56.050000	
4.422816	3.447531	0.011462	1.424535	57.000000	1.404957	57.190000	
4.517575	3.461278	0.011772	1.415917	57.240000	1.394833	57.930000	
