Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.736457	3.726211	0.004744	2.221709	16.760000	2.219639	17.090000	
3.429101	3.374228	0.009077	1.998481	33.160000	1.998870	33.190000	
3.260617	3.152964	0.010870	1.748439	39.940000	1.745183	39.980000	
3.177789	3.018449	0.011533	1.592179	46.260000	1.592119	45.560000	
3.164010	2.958245	0.011568	1.475432	51.100000	1.475572	50.400000	
3.215659	2.967055	0.011450	1.403164	54.340000	1.405404	54.000000	
3.242105	2.941678	0.011697	1.352148	56.700000	1.358298	56.460000	
3.262011	2.916663	0.011660	1.330742	58.620000	1.333973	57.960000	
3.293971	2.903336	0.011632	1.305342	59.620000	1.308552	59.020000	
3.341193	2.893409	0.011935	1.290362	60.740000	1.296428	60.170000	
3.364959	2.889313	0.011462	1.270030	61.480000	1.281154	60.850000	
3.396743	2.890107	0.011152	1.247899	62.500000	1.263805	61.710000	
3.465567	2.902498	0.011402	1.219296	63.680000	1.238378	62.780000	
3.513968	2.907438	0.011372	1.224002	63.820000	1.245409	63.210000	
3.546218	2.900806	0.011273	1.190917	64.760000	1.206892	64.190000	
3.567082	2.893595	0.011004	1.176282	65.120000	1.188269	64.870000	
3.627849	2.901356	0.011147	1.147598	65.880000	1.160621	65.810000	
3.685558	2.910103	0.011220	1.129344	66.620000	1.145394	66.250000	
3.688975	2.897793	0.010828	1.106326	67.160000	1.127880	67.300000	
3.748643	2.903252	0.010972	1.084552	68.220000	1.105834	68.050000	
