Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.373728	3.373483	0.004721	2.287783	13.640000	2.286646	13.220000	
3.082673	3.081476	0.008467	2.118636	20.580000	2.119737	21.580000	
2.883817	2.881449	0.010184	1.831313	37.780000	1.836940	37.420000	
2.789040	2.785614	0.010567	1.653067	45.640000	1.657209	45.140000	
2.758611	2.754231	0.010495	1.612326	47.020000	1.620080	46.320000	
2.708115	2.702692	0.010627	1.584782	47.820000	1.590973	47.650000	
2.714849	2.708412	0.010671	1.568459	48.920000	1.571943	48.500000	
2.677344	2.669849	0.010772	1.558051	49.880000	1.562436	49.160000	
2.667936	2.659390	0.010837	1.550656	50.280000	1.552769	49.490000	
2.664452	2.654820	0.010923	1.548604	50.280000	1.552989	49.730000	
2.659122	2.648022	0.011393	1.551736	50.240000	1.556654	49.870000	
2.649887	2.637751	0.011371	1.531795	50.920000	1.535417	50.400000	
2.643346	2.629632	0.011823	1.515370	51.200000	1.518745	50.720000	
2.633326	2.618289	0.012003	1.506658	52.180000	1.513186	51.450000	
2.638198	2.621608	0.012331	1.496901	51.520000	1.500436	51.960000	
2.628028	2.610070	0.012488	1.498997	52.160000	1.499126	51.760000	
2.612588	2.593268	0.012620	1.483813	52.040000	1.482369	52.550000	
2.636688	2.616081	0.012696	1.473898	53.040000	1.477609	52.620000	
2.624943	2.602517	0.013064	1.482847	53.060000	1.484131	52.520000	
2.608579	2.584787	0.013153	1.468429	53.820000	1.464618	53.280000	
