Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.783876	3.774663	0.004144	2.290124	12.840000	2.287926	13.200000	
3.606779	3.563145	0.006863	2.266691	10.500000	2.262675	10.720000	
3.495123	3.399184	0.009180	2.113559	19.800000	2.102569	20.390000	
3.406529	3.247880	0.010909	1.824625	33.980000	1.801002	35.480000	
3.352582	3.138854	0.011426	1.728298	40.400000	1.711050	40.910000	
3.379094	3.115915	0.011539	1.668707	42.420000	1.652422	43.260000	
3.389688	3.075763	0.011633	1.654138	44.140000	1.629497	44.730000	
3.401936	3.039790	0.011640	1.608504	46.460000	1.573499	47.080000	
3.437652	3.029403	0.011570	1.574400	48.120000	1.536697	48.390000	
3.478064	3.006992	0.011951	1.526825	50.240000	1.491700	50.260000	
3.499596	2.987286	0.011754	1.514483	51.280000	1.477043	51.320000	
3.541389	2.992555	0.011500	1.497928	52.360000	1.460832	52.290000	
3.608100	2.995752	0.011803	1.464769	53.360000	1.432065	53.690000	
3.658850	2.988841	0.011958	1.427351	54.480000	1.397229	55.460000	
3.686210	2.972158	0.011871	1.439034	55.340000	1.414631	55.720000	
3.717893	2.967589	0.011666	1.406676	56.100000	1.371296	57.020000	
3.784246	2.975729	0.011808	1.349756	57.740000	1.322042	58.480000	
3.834936	2.972554	0.011877	1.332313	58.120000	1.307984	59.290000	
3.858954	2.959225	0.011720	1.327314	59.460000	1.302277	60.150000	
3.914335	2.957806	0.011816	1.309001	60.060000	1.283364	60.930000	
