Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.461053	3.450949	0.004587	2.325832	10.000000	2.325609	10.000000	
3.363201	3.322190	0.006510	2.378671	10.000000	2.377660	10.000000	
3.298639	3.211316	0.008351	2.173783	14.560000	2.168982	14.930000	
3.203637	3.059626	0.009903	1.883706	31.140000	1.879289	31.550000	
3.180665	2.988706	0.010269	1.711310	39.780000	1.708597	40.180000	
3.208250	2.970483	0.010420	1.680824	42.160000	1.677686	41.990000	
3.192591	2.907006	0.010580	1.643535	44.240000	1.642693	43.850000	
3.229530	2.898188	0.010646	1.626708	45.740000	1.619786	45.440000	
3.265136	2.889414	0.010649	1.620556	45.720000	1.607329	46.050000	
3.311392	2.877650	0.011006	1.633183	46.600000	1.620809	46.160000	
3.332074	2.867348	0.010664	1.616774	46.940000	1.606392	47.220000	
3.373309	2.869496	0.010557	1.632278	47.400000	1.620612	47.780000	
3.424621	2.869415	0.010702	1.641933	47.780000	1.637540	47.780000	
3.486608	2.878878	0.010844	1.614950	48.100000	1.610063	48.660000	
3.519893	2.872183	0.010766	1.645096	48.860000	1.634957	48.670000	
3.549093	2.865225	0.010632	1.625328	49.360000	1.620935	49.160000	
3.605474	2.871216	0.010723	1.615210	50.000000	1.612994	49.660000	
3.686978	2.885668	0.011035	1.595783	50.980000	1.587550	50.500000	
3.686765	2.853997	0.010848	1.568877	51.440000	1.560913	51.350000	
3.765344	2.872674	0.011028	1.554298	51.840000	1.541157	52.150000	
