Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.432590	3.419828	0.004741	2.304482	10.080000	2.303552	10.090000	
3.365218	3.315981	0.006556	2.232353	11.600000	2.229429	11.500000	
3.329126	3.228261	0.008098	1.988176	26.260000	1.979631	27.330000	
3.247030	3.079508	0.009659	1.839426	34.000000	1.823257	34.690000	
3.223924	2.993798	0.010319	1.706352	39.900000	1.687379	40.620000	
3.238075	2.949661	0.010592	1.626169	43.420000	1.610979	43.890000	
3.265740	2.917940	0.010801	1.602882	45.160000	1.584789	45.110000	
3.287510	2.884131	0.010868	1.570470	47.260000	1.560954	47.240000	
3.326196	2.866031	0.010934	1.524456	50.240000	1.526916	49.630000	
3.377336	2.855170	0.011107	1.497577	51.720000	1.502858	50.990000	
3.399990	2.831619	0.010931	1.457845	53.820000	1.467510	52.870000	
3.457619	2.842157	0.010810	1.442041	54.760000	1.450569	54.160000	
3.516003	2.830094	0.011085	1.428305	54.960000	1.443679	54.710000	
3.580056	2.830827	0.011208	1.380465	56.740000	1.389528	56.280000	
3.631939	2.821679	0.011292	1.382881	57.160000	1.386267	56.740000	
3.678913	2.820606	0.011187	1.357155	58.660000	1.364026	57.960000	
3.751338	2.820873	0.011393	1.364888	58.680000	1.377742	58.010000	
3.820412	2.819747	0.011553	1.357925	59.520000	1.371675	58.730000	
3.845350	2.809726	0.011311	1.369747	59.500000	1.383254	58.740000	
3.919058	2.811026	0.011475	1.405242	59.680000	1.426236	58.260000	
