Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.740789	3.728947	0.004823	2.254933	17.680000	2.253407	17.370000	
3.521802	3.465453	0.008292	2.096778	22.720000	2.092291	23.720000	
3.396913	3.284263	0.010083	1.846784	35.740000	1.844462	36.330000	
3.327129	3.156301	0.010976	1.641780	44.020000	1.648832	43.880000	
3.313042	3.091090	0.011070	1.522904	48.660000	1.528573	48.790000	
3.363194	3.090723	0.011138	1.462582	51.520000	1.457141	51.910000	
3.402323	3.077516	0.011223	1.425360	53.700000	1.416620	54.050000	
3.423631	3.045604	0.011328	1.387255	56.020000	1.376628	56.410000	
3.475966	3.045969	0.011365	1.368083	57.400000	1.355031	57.650000	
3.530485	3.039537	0.011616	1.369904	57.620000	1.356679	57.790000	
3.559841	3.027970	0.011379	1.367412	58.380000	1.365026	58.100000	
3.586373	3.018463	0.011097	1.339392	59.720000	1.334394	59.680000	
3.659354	3.029067	0.011330	1.327763	60.440000	1.326412	60.240000	
3.730706	3.038334	0.011523	1.288719	61.900000	1.289493	61.570000	
3.760755	3.028945	0.011345	1.264225	62.420000	1.266980	62.460000	
3.794961	3.021306	0.011219	1.223459	63.480000	1.222750	63.380000	
3.865587	3.033818	0.011329	1.220119	63.600000	1.221311	64.060000	
3.928475	3.034030	0.011489	1.201735	64.380000	1.208018	64.460000	
3.942837	3.029078	0.011100	1.182932	65.540000	1.190425	65.120000	
4.019249	3.035660	0.011331	1.163926	65.480000	1.172990	65.520000	
