Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.410339	3.399006	0.004441	2.253854	10.820000	2.251716	11.160000	
3.262508	3.211890	0.007105	2.142403	22.760000	2.140156	22.500000	
3.180251	3.073117	0.009160	1.927915	31.980000	1.925110	32.260000	
3.095650	2.924290	0.010521	1.701620	40.480000	1.701052	40.990000	
3.058061	2.830021	0.010885	1.581314	45.300000	1.576586	45.110000	
3.103318	2.824778	0.010899	1.519714	48.540000	1.520007	47.660000	
3.128122	2.795715	0.010991	1.476845	51.080000	1.473313	50.530000	
3.160642	2.770917	0.011178	1.448064	52.120000	1.446112	52.010000	
3.205241	2.762869	0.011189	1.441523	53.300000	1.447430	52.460000	
3.248870	2.741516	0.011487	1.440700	54.300000	1.451285	53.450000	
3.281606	2.731734	0.011258	1.412324	55.400000	1.408249	55.160000	
3.316299	2.721008	0.011131	1.394770	56.440000	1.391652	55.990000	
3.402539	2.736079	0.011467	1.386907	56.960000	1.381632	56.850000	
3.461450	2.727658	0.011685	1.376275	57.500000	1.372853	57.720000	
3.509870	2.728834	0.011587	1.361794	58.100000	1.353566	58.970000	
3.541602	2.717197	0.011439	1.335506	59.360000	1.327021	60.060000	
3.618203	2.717589	0.011739	1.307576	60.080000	1.300435	61.240000	
3.685351	2.726930	0.011780	1.295988	60.620000	1.280505	61.580000	
3.706849	2.726313	0.011400	1.265771	62.020000	1.258151	62.430000	
3.787551	2.728261	0.011679	1.253799	62.520000	1.246192	62.730000	
