Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
4.029030	4.017057	0.005460	2.239878	17.400000	2.236106	17.650000	
3.751854	3.695123	0.009543	1.959101	30.100000	1.955888	30.040000	
3.610384	3.501274	0.011159	1.682302	43.020000	1.682658	43.640000	
3.540256	3.379194	0.011812	1.543025	47.660000	1.546850	48.130000	
3.519420	3.311966	0.011813	1.480051	50.300000	1.481832	50.900000	
3.571985	3.318742	0.011812	1.415767	53.460000	1.418387	53.770000	
3.595323	3.292346	0.011948	1.373751	55.800000	1.374399	56.000000	
3.604628	3.258384	0.011842	1.331821	57.960000	1.330492	57.780000	
3.648130	3.259462	0.011722	1.293062	59.520000	1.293659	59.170000	
3.684098	3.246174	0.011823	1.249371	61.500000	1.247532	61.140000	
3.712083	3.242522	0.011463	1.237578	62.500000	1.235808	62.160000	
3.735537	3.238129	0.011088	1.200305	63.700000	1.198829	63.470000	
3.791407	3.244048	0.011228	1.183683	64.400000	1.184172	64.100000	
3.845283	3.249367	0.011317	1.160678	65.240000	1.168145	64.720000	
3.878642	3.242511	0.011253	1.140262	66.580000	1.154922	65.730000	
3.896597	3.235785	0.010935	1.128369	66.400000	1.146322	66.060000	
3.955569	3.242779	0.011077	1.105236	66.740000	1.122478	66.780000	
4.010999	3.253240	0.011105	1.091638	67.640000	1.105184	67.360000	
4.013385	3.236490	0.010768	1.085615	67.780000	1.099029	67.690000	
4.074621	3.241480	0.010951	1.064869	68.360000	1.074116	68.050000	
