Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.690665	3.678597	0.005618	2.220387	15.820000	2.216039	15.520000	
3.394156	3.338130	0.009815	2.016587	24.600000	2.010088	25.130000	
3.263496	3.160286	0.010995	1.717496	40.160000	1.714653	40.940000	
3.215356	3.065519	0.011430	1.580143	46.880000	1.570462	47.450000	
3.221949	3.029415	0.011403	1.515159	49.440000	1.502081	50.360000	
3.278083	3.041972	0.011451	1.478536	51.480000	1.465538	52.070000	
3.304641	3.020856	0.011638	1.436438	53.560000	1.426745	53.990000	
3.322023	2.995852	0.011599	1.397550	55.400000	1.382890	55.920000	
3.356873	2.989350	0.011526	1.357366	57.380000	1.343959	57.700000	
3.395355	2.980043	0.011660	1.331894	58.940000	1.323409	58.790000	
3.423221	2.977159	0.011323	1.300108	60.100000	1.295045	60.330000	
3.454373	2.977999	0.011046	1.283269	61.100000	1.283712	61.400000	
3.512401	2.991165	0.011118	1.270970	62.020000	1.266360	62.460000	
3.557527	2.987862	0.011251	1.257648	62.720000	1.250566	63.180000	
3.582628	2.982135	0.011048	1.246618	63.020000	1.237128	63.510000	
3.608004	2.979741	0.010811	1.232408	63.780000	1.226788	64.300000	
3.667410	2.988970	0.010966	1.212991	64.340000	1.209902	64.680000	
3.706576	2.988750	0.010942	1.195700	65.260000	1.198043	65.220000	
3.721521	2.981173	0.010672	1.174610	65.780000	1.174052	66.000000	
3.772060	2.980955	0.010814	1.154911	66.220000	1.150798	66.570000	
