Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.537516	3.528007	0.003606	2.305740	12.140000	2.305723	12.320000	
3.471987	3.436327	0.004698	2.334697	10.000000	2.334829	10.000000	
3.418151	3.345175	0.005793	2.272517	10.640000	2.272859	10.740000	
3.339202	3.208150	0.007461	2.027252	23.600000	2.025172	23.280000	
3.237389	3.043948	0.008575	1.813448	33.880000	1.803121	34.540000	
3.231332	2.974724	0.009327	1.688947	38.900000	1.656268	40.200000	
3.198640	2.875279	0.009942	1.692831	41.140000	1.644580	42.070000	
3.181644	2.791970	0.010388	1.669778	42.460000	1.625109	43.590000	
3.204246	2.745587	0.010785	1.661740	43.280000	1.616658	44.110000	
3.217270	2.680934	0.011294	1.622794	44.780000	1.583475	45.990000	
3.229794	2.648093	0.011077	1.625226	45.840000	1.591889	47.130000	
3.256448	2.629528	0.010904	1.635054	46.620000	1.605461	47.510000	
3.317216	2.627001	0.011042	1.603617	48.100000	1.572591	48.550000	
3.383536	2.624159	0.011248	1.599230	49.280000	1.570907	49.470000	
3.439761	2.635659	0.011093	1.594729	49.420000	1.563041	49.810000	
3.449326	2.607128	0.010868	1.573574	50.160000	1.541939	51.120000	
3.536262	2.624801	0.011049	1.589945	50.720000	1.557220	50.950000	
3.577919	2.605611	0.011115	1.579458	51.140000	1.542305	51.400000	
3.629953	2.623459	0.010882	1.584194	51.440000	1.547270	51.640000	
3.694468	2.618635	0.011032	1.608810	51.640000	1.578414	51.990000	
