Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.852368	3.848636	1.927742	1.920894	0.004538	2.260987	10.280000	2.257603	10.230000	
3.588569	3.572054	1.918153	1.653901	0.007191	2.180218	27.900000	2.171086	27.970000	
3.324601	3.292395	1.904148	1.388247	0.008561	1.979108	31.520000	1.968488	31.700000	
3.159056	3.109938	1.893376	1.216562	0.009352	1.404655	50.600000	1.400658	50.560000	
3.002482	2.939146	1.881069	1.058077	0.009377	0.998302	65.640000	0.995149	65.270000	
2.913837	2.834639	1.874737	0.959901	0.009603	0.879529	68.960000	0.878800	69.600000	
2.837899	2.736025	1.867818	0.868207	0.010437	0.794338	72.820000	0.794462	72.650000	
2.755068	2.640633	1.860897	0.779736	0.010173	0.739299	75.260000	0.739172	75.520000	
2.697211	2.564506	1.854603	0.709903	0.010410	0.715265	76.720000	0.716553	76.520000	
2.651480	2.504646	1.849022	0.655625	0.010298	0.706292	77.300000	0.704114	77.440000	
2.617265	2.451587	1.844106	0.607481	0.010517	0.677097	78.220000	0.665849	78.760000	
2.600623	2.421090	1.840233	0.580856	0.010406	0.675579	79.140000	0.665075	79.330000	
2.594365	2.396259	1.838691	0.557568	0.010571	0.656057	79.640000	0.654999	79.990000	
2.580686	2.368719	1.835653	0.533066	0.010469	0.636777	79.680000	0.632623	80.450000	
2.563490	2.335965	1.831011	0.504954	0.010459	0.632019	80.680000	0.633056	80.740000	
2.545404	2.318214	1.827421	0.490793	0.009768	0.636989	80.900000	0.640253	80.760000	
2.540550	2.291661	1.826065	0.465595	0.010064	0.626022	81.260000	0.626539	81.120000	
2.586729	2.320103	1.829727	0.490376	0.010155	0.612544	81.480000	0.610462	81.340000	
2.564297	2.296771	1.825812	0.470958	0.009648	0.616717	82.120000	0.617504	81.400000	
2.584592	2.291360	1.825739	0.465622	0.010022	0.601670	82.020000	0.602935	81.760000	
