Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.396253	3.384161	0.004784	2.284507	11.620000	2.282841	12.000000	
3.250461	3.195845	0.007782	2.160034	21.420000	2.157232	21.320000	
3.151683	3.038295	0.009807	1.953317	31.080000	1.952978	31.630000	
3.087245	2.914190	0.010752	1.672291	43.480000	1.674140	43.080000	
3.055114	2.829422	0.010897	1.564069	47.120000	1.568217	46.310000	
3.098579	2.825139	0.010813	1.520067	49.100000	1.527597	48.280000	
3.138091	2.808907	0.011005	1.484013	51.320000	1.483817	50.930000	
3.144467	2.761500	0.011102	1.446984	52.780000	1.456875	52.670000	
3.210349	2.767278	0.011328	1.423923	53.960000	1.437410	54.300000	
3.258437	2.750673	0.011623	1.393769	54.980000	1.405281	55.660000	
3.278503	2.726640	0.011421	1.392180	56.220000	1.403953	56.550000	
3.322845	2.732355	0.011162	1.355754	57.900000	1.372508	57.930000	
3.386059	2.729498	0.011416	1.319920	59.720000	1.334054	59.580000	
3.461030	2.739214	0.011622	1.312783	60.220000	1.335618	59.720000	
3.510379	2.738730	0.011573	1.272555	61.960000	1.290322	61.180000	
3.536830	2.726617	0.011366	1.268291	62.120000	1.282984	61.450000	
3.621108	2.742573	0.011575	1.245214	63.120000	1.258471	62.510000	
3.669624	2.733839	0.011627	1.238595	63.420000	1.244838	63.030000	
3.692533	2.729381	0.011319	1.231398	63.940000	1.234059	63.600000	
3.771274	2.733809	0.011563	1.199475	64.800000	1.205815	64.510000	
