Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
4.172585	4.161602	0.004673	2.283210	10.580000	2.282985	10.540000	
4.083727	4.040944	0.006390	2.229769	14.060000	2.224723	14.360000	
4.032014	3.943089	0.008031	2.172669	17.760000	2.163927	18.610000	
3.975066	3.832202	0.009266	1.987499	26.860000	1.982099	27.040000	
3.949121	3.753500	0.009867	1.735734	39.380000	1.726549	38.660000	
3.960650	3.714425	0.010176	1.609624	44.460000	1.594261	44.740000	
3.956388	3.652039	0.010633	1.558036	46.520000	1.534542	47.000000	
3.957086	3.597389	0.010899	1.527421	48.120000	1.493955	49.050000	
3.990946	3.584851	0.010853	1.503196	49.280000	1.469813	50.550000	
4.022851	3.555016	0.011196	1.505476	50.020000	1.472762	50.940000	
4.036071	3.534736	0.010848	1.513782	50.660000	1.485775	50.700000	
4.084470	3.545208	0.010658	1.501602	51.400000	1.472774	51.820000	
4.129288	3.537667	0.010759	1.519760	51.860000	1.493632	52.390000	
4.185240	3.538300	0.010889	1.555622	50.920000	1.529289	52.190000	
4.232182	3.545479	0.010766	1.561052	51.100000	1.543998	51.500000	
4.247322	3.526024	0.010577	1.580994	51.620000	1.567433	52.370000	
4.324265	3.540774	0.010794	1.613678	51.980000	1.598648	52.460000	
4.377003	3.536660	0.010916	1.618870	52.060000	1.603450	52.830000	
4.376204	3.505306	0.010698	1.583175	52.940000	1.567238	54.030000	
4.450967	3.509419	0.010971	1.581633	53.440000	1.566029	54.650000	
