Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.402561	3.394728	1.223458	2.171270	0.004125	2.328100	10.240000	2.326914	10.480000	
3.217771	3.180806	1.210301	1.970505	0.007109	2.276935	20.820000	2.271677	21.050000	
3.074532	2.994303	1.200982	1.793320	0.009398	2.041298	25.640000	2.030285	25.550000	
2.992987	2.870591	1.194969	1.675622	0.010270	1.795289	36.580000	1.783919	37.210000	
2.978837	2.818345	1.191477	1.626868	0.010478	1.718702	40.900000	1.708345	41.410000	
2.992714	2.792382	1.190033	1.602349	0.010717	1.678061	43.560000	1.662724	44.580000	
3.018476	2.784814	1.187236	1.597578	0.010570	1.667843	44.500000	1.646629	45.780000	
3.027346	2.759630	1.185910	1.573720	0.010503	1.664007	46.020000	1.642876	46.920000	
3.065346	2.767870	1.186863	1.581008	0.010291	1.658622	46.720000	1.637841	47.290000	
3.065138	2.736649	1.184329	1.552320	0.010169	1.640358	48.300000	1.630107	48.470000	
3.102384	2.734035	1.183009	1.551027	0.010315	1.650701	49.460000	1.641519	49.570000	
3.153146	2.743720	1.183787	1.559933	0.010465	1.618513	51.140000	1.613531	50.600000	
3.160848	2.717165	1.182533	1.534632	0.010437	1.583971	52.660000	1.579462	52.340000	
3.189263	2.716006	1.181798	1.534208	0.010311	1.567030	53.620000	1.554347	53.740000	
3.213763	2.715228	1.181644	1.533585	0.010118	1.543679	55.780000	1.532907	55.160000	
3.260624	2.735266	1.183108	1.552158	0.009970	1.510465	55.980000	1.476214	55.990000	
3.255556	2.704112	1.181414	1.522698	0.009829	1.535512	55.680000	1.505507	56.140000	
3.295391	2.714881	1.181128	1.533753	0.009760	1.514001	57.060000	1.489509	57.020000	
3.361933	2.735433	1.182797	1.552635	0.009962	1.517981	56.840000	1.495740	56.940000	
3.349406	2.711625	1.181662	1.529962	0.009620	1.500429	57.600000	1.480971	57.880000	
