Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.531217	3.530793	1.577523	1.953269	0.005093	2.300212	15.500000	2.297770	15.340000	
3.216631	3.214794	1.565397	1.649396	0.008040	2.008687	30.040000	2.000895	29.310000	
3.000751	2.997060	1.559094	1.437966	0.009827	1.618973	39.700000	1.616176	39.240000	
2.844290	2.838745	1.551879	1.286866	0.010556	1.188329	57.900000	1.187986	58.100000	
2.757699	2.750156	1.549169	1.200987	0.011158	0.960559	66.620000	0.957852	66.370000	
2.668433	2.658694	1.546357	1.112338	0.011804	0.853755	70.120000	0.852018	69.840000	
2.603967	2.591875	1.543544	1.048331	0.012403	0.783132	72.960000	0.783163	72.670000	
2.535057	2.520301	1.539646	0.980655	0.013129	0.735120	75.140000	0.739722	74.990000	
2.456752	2.439761	1.537014	0.902747	0.013318	0.688227	76.900000	0.697620	76.890000	
2.391419	2.371852	1.533007	0.838845	0.013730	0.660035	78.160000	0.669532	77.720000	
2.359632	2.337724	1.532013	0.805711	0.013918	0.664262	78.180000	0.665608	78.030000	
2.312259	2.287824	1.528623	0.759201	0.014160	0.652125	78.860000	0.646545	79.000000	
2.291678	2.264812	1.527781	0.737030	0.014333	0.639315	79.020000	0.628961	79.850000	
2.243918	2.214357	1.523301	0.691056	0.014597	0.639729	79.780000	0.628756	80.060000	
2.251985	2.220049	1.524454	0.695596	0.014684	0.626251	80.040000	0.611890	80.430000	
2.230218	2.196181	1.524392	0.671789	0.014641	0.611343	80.120000	0.602098	80.900000	
2.211289	2.174132	1.523037	0.651095	0.015010	0.621895	80.400000	0.614296	80.880000	
2.213730	2.175173	1.522942	0.652231	0.014691	0.602974	80.480000	0.595747	81.340000	
2.168541	2.127544	1.518774	0.608771	0.014778	0.607051	80.720000	0.605013	80.910000	
2.139150	2.096880	1.515761	0.581119	0.014452	0.611306	80.760000	0.604606	81.310000	
