Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.805661	3.792985	0.004703	2.293471	10.000000	2.293000	10.010000	
3.721459	3.670230	0.006742	2.220977	15.320000	2.219769	15.710000	
3.677946	3.574427	0.008235	2.075584	23.360000	2.074136	23.620000	
3.644499	3.476772	0.009567	1.937388	28.620000	1.933606	28.680000	
3.608427	3.376237	0.010300	1.787806	35.940000	1.779346	36.180000	
3.633963	3.340304	0.010682	1.668396	42.000000	1.653350	41.720000	
3.660117	3.307842	0.010834	1.627276	44.860000	1.619903	44.410000	
3.669168	3.258791	0.010945	1.611209	45.820000	1.606404	45.400000	
3.709726	3.246243	0.010904	1.580910	47.440000	1.572355	47.000000	
3.764877	3.234448	0.011170	1.563581	48.420000	1.555160	48.030000	
3.785206	3.215563	0.010850	1.535836	49.860000	1.530009	49.570000	
3.851534	3.239509	0.010645	1.521229	50.340000	1.515888	50.090000	
3.900404	3.224270	0.010816	1.498239	51.980000	1.494099	51.440000	
3.982170	3.237886	0.011023	1.493224	52.480000	1.494072	51.760000	
4.024608	3.235029	0.010894	1.461436	52.840000	1.474086	52.860000	
4.066020	3.231614	0.010768	1.464421	53.880000	1.481960	53.110000	
4.127886	3.227679	0.010912	1.460794	54.540000	1.481508	53.480000	
4.190905	3.229612	0.010989	1.437445	54.980000	1.464287	54.190000	
4.243392	3.238707	0.010864	1.443869	55.500000	1.469697	54.210000	
4.294123	3.223892	0.010975	1.445161	55.700000	1.466074	54.770000	
