Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.728061	3.717591	0.004858	2.269788	15.280000	2.268221	15.300000	
3.432101	3.378251	0.009043	2.059694	22.160000	2.057881	22.280000	
3.293134	3.188994	0.010643	1.758625	38.680000	1.759046	38.700000	
3.235288	3.079987	0.011385	1.568929	47.720000	1.575892	47.260000	
3.230858	3.030262	0.011422	1.481557	50.520000	1.488776	50.690000	
3.288789	3.040386	0.011588	1.447359	51.960000	1.453190	52.100000	
3.318280	3.021203	0.011712	1.391518	54.460000	1.397361	54.230000	
3.339021	2.994704	0.011774	1.345412	57.160000	1.347800	56.600000	
3.377294	2.987400	0.011760	1.320110	58.440000	1.316522	58.390000	
3.411586	2.975079	0.011785	1.288715	60.440000	1.283290	60.050000	
3.439210	2.967387	0.011518	1.270412	61.320000	1.262521	60.800000	
3.473755	2.971865	0.011188	1.222469	63.140000	1.214176	63.250000	
3.529710	2.978452	0.011307	1.206097	63.880000	1.201796	64.080000	
3.588331	2.984681	0.011463	1.187474	64.840000	1.188018	64.600000	
3.612766	2.976335	0.011260	1.170419	65.120000	1.172515	65.130000	
3.642581	2.973274	0.011074	1.167777	65.400000	1.166562	65.470000	
3.695913	2.978752	0.011146	1.148541	65.820000	1.150849	66.080000	
3.742236	2.979738	0.011175	1.142852	65.820000	1.147247	65.990000	
3.757514	2.977005	0.010819	1.128974	66.560000	1.137557	66.780000	
3.810104	2.978990	0.010925	1.090434	68.100000	1.100453	67.880000	
