Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.463699	3.452702	0.004483	2.283358	14.200000	2.282997	14.570000	
3.372012	3.327514	0.006462	2.300431	16.420000	2.299198	16.610000	
3.337074	3.247451	0.007824	2.087632	24.560000	2.086365	24.480000	
3.266434	3.116948	0.009380	1.855827	33.460000	1.860353	32.460000	
3.235669	3.030967	0.009985	1.719066	40.620000	1.717820	39.520000	
3.261266	3.002778	0.010331	1.676407	41.220000	1.671673	41.040000	
3.273440	2.958528	0.010643	1.660324	42.740000	1.651541	42.490000	
3.290927	2.922834	0.010786	1.635216	44.520000	1.631008	44.080000	
3.348610	2.931477	0.010783	1.622286	44.820000	1.618128	44.940000	
3.378729	2.899996	0.011078	1.598530	46.700000	1.591471	46.690000	
3.412962	2.894685	0.010845	1.634997	47.220000	1.635265	46.390000	
3.440948	2.886738	0.010591	1.652274	47.800000	1.644487	47.120000	
3.514860	2.899900	0.010811	1.634923	48.840000	1.624741	48.610000	
3.565975	2.895765	0.010909	1.666773	48.640000	1.657497	48.520000	
3.597466	2.881722	0.010852	1.674660	48.660000	1.665780	48.620000	
3.640628	2.881480	0.010766	1.693926	48.500000	1.689926	48.310000	
3.708445	2.897258	0.010806	1.713619	48.940000	1.715112	48.290000	
3.748506	2.882132	0.010883	1.709342	48.460000	1.711859	48.120000	
3.770934	2.868891	0.010716	1.699848	49.220000	1.705357	48.750000	
3.852709	2.885268	0.010902	1.687528	50.160000	1.694921	49.690000	
