Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.827237	3.827053	0.004339	2.282846	10.980000	2.282215	10.880000	
3.683888	3.683201	0.005786	2.367416	10.980000	2.364184	10.830000	
3.525149	3.523656	0.007588	2.269069	14.180000	2.259990	14.440000	
3.384500	3.382095	0.008781	1.976167	25.740000	1.967576	25.880000	
3.277082	3.273586	0.009931	1.822703	32.980000	1.817894	33.000000	
3.183344	3.178724	0.010738	1.778371	36.140000	1.774264	36.120000	
3.086322	3.080649	0.011160	1.779267	37.320000	1.768347	38.480000	
3.029545	3.022921	0.011299	1.788093	38.080000	1.775443	39.230000	
3.003218	2.995657	0.011388	1.770160	39.420000	1.752084	39.930000	
2.977703	2.969098	0.011602	1.757589	39.980000	1.739532	40.440000	
2.957697	2.948594	0.011098	1.771054	39.280000	1.753576	40.350000	
2.919273	2.909091	0.011331	1.748717	40.960000	1.735256	41.600000	
2.968769	2.957979	0.011049	1.754365	40.200000	1.742520	40.900000	
2.954682	2.943241	0.010847	1.731833	41.380000	1.710844	41.870000	
2.894368	2.881800	0.011091	1.750940	40.500000	1.729607	41.070000	
2.908978	2.895665	0.010993	1.730780	41.480000	1.713639	42.180000	
2.914182	2.899908	0.011069	1.720599	42.160000	1.710509	42.340000	
2.872290	2.857295	0.010969	1.717747	41.580000	1.707713	42.150000	
2.863511	2.847691	0.010946	1.693669	42.760000	1.688886	43.020000	
2.857579	2.840980	0.010896	1.685555	43.100000	1.681103	42.910000	
