Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.610099	2.868808	0.011296	1.307882	61.180000	1.312718	61.300000	
3.637115	2.883524	0.011353	1.303375	61.500000	1.310030	61.500000	
3.657437	2.861207	0.011865	1.307366	61.280000	1.314412	61.440000	
3.671773	2.888570	0.011538	1.302895	61.540000	1.308715	61.560000	
3.725859	2.881084	0.012308	1.304489	61.720000	1.310464	61.380000	
3.675518	2.890344	0.011318	1.301359	62.000000	1.307773	61.520000	
3.693883	2.853552	0.011982	1.304026	62.200000	1.309727	61.600000	
3.873141	2.966517	0.012793	1.296167	62.260000	1.301177	61.760000	
3.624360	2.817261	0.011269	1.291716	62.500000	1.297294	61.890000	
3.709426	2.834868	0.012085	1.291027	62.600000	1.296515	62.100000	
3.581678	2.850036	0.010005	1.282850	62.720000	1.289713	62.340000	
3.776608	2.910956	0.011717	1.278249	62.860000	1.286287	62.450000	
3.697592	2.843093	0.011451	1.276361	62.960000	1.285112	62.650000	
