Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
4.170848	4.162306	0.004131	2.276785	16.840000	2.276342	16.560000	
4.057702	4.021448	0.006189	2.200534	19.540000	2.196968	20.030000	
3.997469	3.922008	0.007778	2.102908	21.840000	2.096817	21.900000	
3.917483	3.791043	0.009362	1.973979	28.340000	1.963219	28.290000	
3.846519	3.668729	0.010244	1.796939	36.120000	1.789216	36.500000	
3.848163	3.621658	0.010697	1.743627	40.120000	1.735812	39.500000	
3.839519	3.563809	0.011011	1.710938	42.400000	1.692345	42.070000	
3.828475	3.507187	0.011129	1.666648	44.740000	1.640801	44.950000	
3.862280	3.497309	0.011150	1.635026	46.000000	1.611650	46.710000	
3.901667	3.485763	0.011376	1.602219	47.500000	1.583887	47.790000	
3.912177	3.461315	0.011151	1.579035	48.280000	1.568622	49.040000	
3.945930	3.460634	0.010961	1.572978	48.960000	1.565572	49.810000	
4.000398	3.467977	0.011062	1.526880	50.480000	1.524228	50.830000	
4.057806	3.472845	0.011252	1.518125	51.420000	1.517581	51.430000	
4.078236	3.449408	0.011267	1.520311	52.340000	1.521545	52.360000	
4.109114	3.443499	0.011155	1.514527	53.340000	1.519227	53.180000	
4.172800	3.461814	0.011192	1.500837	53.940000	1.505353	53.900000	
4.206913	3.440877	0.011373	1.493867	54.380000	1.498321	54.480000	
4.241141	3.441030	0.011235	1.464064	55.260000	1.465013	55.410000	
4.296063	3.439823	0.011402	1.430125	56.320000	1.431616	56.740000	
