Train Loss	Train Loss S	Train Loss S_nll	Train Loss S_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
0.152956	0.152956	0.077610	0.075346	1.278980	7.717276	40.120000	7.560506	40.960000	
0.143956	0.143956	0.074517	0.069440	1.280046	8.992707	37.580000	8.846059	38.400000	
0.160003	0.160003	0.080005	0.079999	1.277627	7.449274	39.100000	7.282876	40.760000	
0.137701	0.137701	0.070961	0.066740	1.289205	6.486868	42.240000	6.377927	43.490000	
0.170388	0.170388	0.086373	0.084015	1.272673	7.524087	41.180000	7.371325	42.460000	
0.111431	0.111430	0.057347	0.054084	1.292189	4.117144	42.820000	4.036256	43.250000	
0.212338	0.212338	0.107850	0.104489	1.260252	4.471060	44.400000	4.399087	44.980000	
0.145544	0.145544	0.074595	0.070949	1.280387	6.252866	42.900000	6.173364	44.150000	
0.157790	0.157790	0.080431	0.077359	1.276512	7.270061	41.640000	7.271877	42.480000	
0.141844	0.141844	0.072829	0.069015	1.285087	7.509033	40.940000	7.534210	41.480000	
0.138009	0.138009	0.070369	0.067640	1.284788	6.233578	43.180000	6.234559	43.760000	
0.151826	0.151826	0.077946	0.073880	1.275480	6.577997	42.240000	6.620025	42.620000	
0.150123	0.150123	0.075838	0.074285	1.276260	7.730790	40.200000	7.739659	41.020000	
0.139427	0.139427	0.070288	0.069139	1.280811	6.658604	41.620000	6.550947	42.620000	
0.143204	0.143204	0.071652	0.071552	1.277948	5.869273	42.260000	5.788492	42.920000	
0.156753	0.156753	0.080506	0.076247	1.279088	7.819427	41.640000	7.660449	41.800000	
0.141308	0.141308	0.071777	0.069530	1.285237	8.549003	38.540000	8.337845	39.000000	
0.141153	0.141153	0.071228	0.069925	1.281199	7.867127	40.180000	7.651877	41.090000	
0.147659	0.147659	0.074934	0.072725	1.276320	8.877487	38.940000	8.608439	39.660000	
0.147234	0.147234	0.074972	0.072262	1.279939	8.676163	41.080000	8.552878	41.680000	
0.128964	0.128965	0.066045	0.062919	1.285170	8.136767	39.040000	7.967958	40.210000	
0.148731	0.148731	0.075575	0.073155	1.281401	7.625697	39.540000	7.530281	40.570000	
0.160992	0.160992	0.080479	0.080513	1.277696	8.015563	41.040000	7.970079	41.410000	
0.128223	0.128223	0.065902	0.062320	1.286980	7.111024	40.960000	6.961720	41.450000	
0.146831	0.146831	0.074368	0.072463	1.277641	6.657054	42.520000	6.506013	43.360000	
0.151231	0.151231	0.076955	0.074276	1.284682	7.681947	41.040000	7.591892	41.420000	
0.133466	0.133466	0.067538	0.065928	1.285293	6.837337	41.400000	6.674278	42.730000	
0.146523	0.146523	0.074484	0.072039	1.278639	8.234623	39.420000	8.032963	40.010000	
0.156475	0.156475	0.079758	0.076716	1.273871	10.228081	37.340000	10.063456	38.170000	
0.147309	0.147309	0.074214	0.073095	1.280879	7.278093	40.940000	7.076583	41.660000	
0.176193	0.176193	0.091417	0.084776	1.270042	4.367905	41.180000	4.203401	41.950000	
0.153109	0.153109	0.078082	0.075027	1.281105	5.803185	41.400000	5.622576	42.470000	
