Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.312088	2.762412	0.010722	0.831254	75.920000	0.831479	75.910000	
3.308923	2.762066	0.010545	0.816489	76.480000	0.820596	76.220000	
3.322830	2.769858	0.010544	0.801158	76.760000	0.809409	76.600000	
3.339318	2.762578	0.010877	0.806257	76.700000	0.816137	76.760000	
3.351348	2.764263	0.010951	0.802709	76.900000	0.818153	76.590000	
3.335270	2.763871	0.010542	0.823655	76.580000	0.831731	76.340000	
3.345542	2.761307	0.010665	0.799754	77.080000	0.812040	76.740000	
3.362807	2.769095	0.010723	0.791777	77.420000	0.807282	76.670000	
3.361072	2.756488	0.010805	0.800787	76.960000	0.808073	77.050000	
3.378233	2.759584	0.010942	0.802360	77.200000	0.810361	76.710000	
3.379431	2.768577	0.010693	0.807739	76.320000	0.820863	76.390000	
3.398101	2.773719	0.010819	0.794081	77.680000	0.805239	77.120000	
3.363527	2.748687	0.010546	0.813593	77.080000	0.819631	76.810000	
3.396789	2.766182	0.010709	0.779886	77.760000	0.798928	77.090000	
3.434350	2.781840	0.010971	0.785884	77.420000	0.798872	77.360000	
3.388938	2.759043	0.010488	0.782495	77.720000	0.789639	77.350000	
3.399617	2.754855	0.010632	0.771663	78.100000	0.783998	77.710000	
3.430427	2.777169	0.010670	0.776251	77.700000	0.792186	77.680000	
3.458855	2.775265	0.011058	0.782241	77.500000	0.792219	77.520000	
3.438283	2.753864	0.010968	0.795439	77.020000	0.803531	76.940000	
3.442519	2.779191	0.010532	0.800275	77.100000	0.811664	76.700000	
3.428083	2.759131	0.010522	0.805896	77.360000	0.810368	77.100000	
3.455706	2.774643	0.010616	0.818416	76.600000	0.823850	76.460000	
3.453400	2.762875	0.010666	0.800355	77.160000	0.806277	77.020000	
3.421028	2.751886	0.010242	0.793809	77.520000	0.806811	77.250000	
3.465393	2.763564	0.010647	0.798245	77.660000	0.808232	77.010000	
3.493761	2.770209	0.010880	0.810393	76.900000	0.812137	76.890000	
3.455176	2.759897	0.010364	0.804626	76.900000	0.806117	77.010000	
3.527175	2.780127	0.011038	0.796253	77.460000	0.799165	77.340000	
3.470732	2.762889	0.010370	0.813358	76.680000	0.816442	76.920000	
3.513653	2.764804	0.010877	0.801116	77.220000	0.802934	76.960000	
3.483342	2.763111	0.010373	0.797244	76.880000	0.804027	76.850000	
3.529011	2.767713	0.010873	0.794107	77.380000	0.801745	77.190000	
3.527496	2.772081	0.010700	0.809770	76.880000	0.817037	76.540000	
3.551266	2.780659	0.010825	0.825265	76.220000	0.830723	76.200000	
3.551962	2.774777	0.010827	0.834245	75.920000	0.836229	76.260000	
3.571711	2.785199	0.010869	0.836734	75.660000	0.833408	76.010000	
3.568055	2.783725	0.010751	0.832386	76.140000	0.839560	75.950000	
3.552521	2.775746	0.010563	0.785579	77.740000	0.792738	77.680000	
3.588072	2.775871	0.010958	0.789710	77.420000	0.796528	77.220000	
3.525444	2.757315	0.010282	0.770413	77.820000	0.783636	77.720000	
